Nom;prix;imageUrl
Magnet 355 - Bottle-opener MM;2.00;/images/products/magnet/M355.jpg
Magnet 356 - grey cow head with flower;1.70;/images/products/magnet/M356.jpg
Magnet 358 - Cuckoo clock;5.00;/images/products/magnet/M358.jpg
Magnet 359 - Double-sided GE;1.30;/images/products/magnet/M359.jpg
Magnet 360 - Water jet Switzerland MM;1.70;/images/products/magnet/M360.jpg
Magnet 362 - Cow bell Genève MM;1.70;/images/products/magnet/M362.jpg
Magnet 363 - double-sided panorama MM;1.30;/images/products/magnet/M363.jpg
Magnet 364 - Limmat MM;2.00;/images/products/magnet/M364.jpg
Magnet 365 - Hearth shaped Limmat MM;1.70;/images/products/magnet/M365.jpg
Magnet 366 - double-sided Zytglogge MM;1.30;/images/products/magnet/M366.jpg
Magnet 367 - Bear. Zytglogge figurine FIG;3.50;/images/products/magnet/M367.jpg
Magnet 368 - Bear head trophy 2;1.70;/images/products/magnet/M386.jpg
Magnet 369 - Lausanne City MM;1.30;/images/products/magnet/M369.jpg
Magnet 370 - Rheinfall MM;2.00;/images/products/magnet/M370.jpg
Magnet 371 - Grd St-Bernard MM;2.00;/images/products/magnet/M371.jpg
Magnet 372 - Zermatt hanger MM;2.00;/images/products/magnet/M372.jpg
Magnet 373 - Matterhorn train MM;1.30;/images/products/magnet/M373.jpg
Magnet 374 - Matterhorn Valais MM;1.70;/images/products/magnet/M374.jpg
Magnet 376 - Zermatt MM;2.00;/images/products/magnet/M376.jpg
Magnet 377 - Matterhorn Valais;1.70;/images/products/magnet/M377.jpg
Magnet 378 - Kapellbrücke MM;1.30;/images/products/magnet/M378.jpg
Magnet 379 - Montreux MM;2.00;/images/products/magnet/M379.jpg
Magnet 380 - Castle double sided MM;1.30;/images/products/magnet/M380.jpg
Magnet 381 - Montreux double sided MM;1.30;/images/products/magnet/M381.jpg
Magnet 382 - Rheinfall double sided MM;1.30;/images/products/magnet/M382.jpg
Magnet 383 - Hearth Rheinfall;1.70;/images/products/magnet/M383.jpg
Magnet 384 - Bear with cub;1.70;/images/products/magnet/M384.jpg
Magnet 385 - Fondue pot Bern;1.70;/images/products/magnet/M385.jpg
Magnet 386 - Fondue pot Crans-Montana;1.70;/images/products/magnet/M386.jpg
Magnet 387 - Fondue pot Genève;1.70;/images/products/magnet/M387.jpg
Magnet 388 - Fondue pot Interlaken;1.70;/images/products/magnet/M388.jpg
Magnet 389 - Fondue pot Lausanne;1.70;/images/products/magnet/M389.jpg
Magnet 390 - Fondue pot Luzern;1.70;/images/products/magnet/M390.jpg
Magnet 391 - Fondue pot Montreux;1.70;/images/products/magnet/M391.jpg
Magnet 392 - Fondue pot Rheinfall;1.70;/images/products/magnet/M392.jpg
Magnet 393 - Fondue pot Zermatt;1.70;/images/products/magnet/M393.jpg
Magnet 394 - Fondue pot Zürich;1.70;/images/products/magnet/M394.jpg
Magnet 395 - Bern;1.00;/images/products/magnet/M395.jpg
Magnet 396 - Crans-Montana;1.00;/images/products/magnet/M396.jpg
Magnet 397 - Genève;1.00;/images/products/magnet/M397.jpg
Magnet 398 - Interlaken;1.00;/images/products/magnet/M398.jpg
Magnet 399 - Lausanne;1.00;/images/products/magnet/M399.jpg
Magnet 400 - Luzern;1.00;/images/products/magnet/M400.jpg
Magnet 401 - Montreux;1.00;/images/products/magnet/M401.jpg
Magnet 402 - Rheinfall;1.00;/images/products/magnet/M402.jpg
Magnet 403 - Zermatt;1.00;/images/products/magnet/M403.jpg
